loss: [1.015063498020172, 0.6334402894973755, 0.465559414178133, 0.4961202459037304, 0.44230392009019853, 0.5794584308564663, 0.3658500289916992, 0.33370280399918556, 0.3006983028352261, 0.29469660952687265]
rpn_class_loss: [0.005182129330933094, 0.004294497426599264, 0.0031088655814528465, 0.0036988190840929747, 0.003375033149495721, 0.004028820898383856, 0.002505603712052107, 0.002085546962916851, 0.0021772384643554688, 0.0021620867773890495]
rpn_bbox_loss: [0.2378038465976715, 0.17407360672950745, 0.13149847090244293, 0.16467402875423431, 0.14260628819465637, 0.2924395799636841, 0.11291135102510452, 0.09970696270465851, 0.07722348719835281, 0.08289506286382675]
mrcnn_class_loss: [0.04076700285077095, 0.011573190800845623, 0.009326559491455555, 0.029397616162896156, 0.02601367048919201, 0.024032199755311012, 0.021657142788171768, 0.018537648022174835, 0.01759226992726326, 0.01601756177842617]
mrcnn_bbox_loss: [0.47069022059440613, 0.2209693193435669, 0.14049845933914185, 0.1245642602443695, 0.10981092602014542, 0.09239185601472855, 0.0757150948047638, 0.057864584028720856, 0.057346731424331665, 0.05702371895313263]
mrcnn_mask_loss: [0.2606202960014343, 0.22252963483333588, 0.18112701177597046, 0.17378559708595276, 0.1604980230331421, 0.16656598448753357, 0.15306082367897034, 0.15550808608531952, 0.14635857939720154, 0.136598140001297]
val_loss: [0.662536963224411, 0.5645381441712379, 0.6407438638806343, 0.6349584156274796, 0.6254972064495087, 0.5626335898041726, 0.5844858741760254, 0.6345992550253868, 0.48695695370435715, 0.6400676664710044]
val_rpn_class_loss: [0.003933255560696125, 0.004198702052235603, 0.002923743100836873, 0.0019376748241484165, 0.0024386344011873007, 0.002504153875634074, 0.001722850021906197, 0.0019060299964621663, 0.0015059522120282054, 0.001926095224916935]
val_rpn_bbox_loss: [0.17374926805496216, 0.19013413786888123, 0.14581888914108276, 0.13675618171691895, 0.17531299591064453, 0.13716591894626617, 0.17908041179180145, 0.14682413637638092, 0.16170921921730042, 0.1541520059108734]
val_mrcnn_class_loss: [0.013440139591693878, 0.012929362244904041, 0.010138110257685184, 0.0154265770688653, 0.03488658741116524, 0.031114431098103523, 0.021229524165391922, 0.014793616719543934, 0.010978146456182003, 0.022554509341716766]
val_mrcnn_bbox_loss: [0.24085357785224915, 0.15224531292915344, 0.2303219437599182, 0.17894624173641205, 0.1873820275068283, 0.14895614981651306, 0.14651574194431305, 0.1568426489830017, 0.11021548509597778, 0.15509606897830963]
val_mrcnn_mask_loss: [0.23056071996688843, 0.2050306499004364, 0.2515411972999573, 0.3018917143344879, 0.2254769504070282, 0.24289289116859436, 0.23593734204769135, 0.31423285603523254, 0.20254816114902496, 0.30633893609046936]
